,order,Data,Time,Home,Score,Away,Venue,Season,Home Score,Away Score,Date
51,51,Sun 25 Oct,15:00,Gloucester,29-16,London Scottish,Kingsholm,1998-1999,29,16,Sun 25 Oct 1998
52,52,Sun 25 Oct,15:00,Saracens,17-31,London Wasps,Vicarage Road,1998-1999,17,31,Sun 25 Oct 1998
53,53,Wed 28 Oct,19:45,Sale Sharks,10-39,Richmond,Heywood Road,1998-1999,10,39,Wed 28 Oct 1998
54,54,Sat 31 Oct,14:15,Newcastle Falcons,43-12,Saracens,Kingston Park,1998-1999,43,12,Sat 31 Oct 1998
55,55,Sat 31 Oct,15:00,London Scottish,13-11,Bath Rugby,Twickenham Stoop,1998-1999,13,11,Sat 31 Oct 1998
56,56,Sat 31 Oct,15:00,Northampton Saints,22-8,Gloucester,Franklin's Gardens,1998-1999,22,8,Sat 31 Oct 1998
57,57,Sun 1 Nov,15:00,London Wasps,21-22,NEC Harlequins,Loftus Road,1998-1999,21,22,Sun 1 Nov 1998
58,58,Sun 1 Nov,15:00,Richmond,38-32,Bedford Blues,Madejski Stadium,1998-1999,38,32,Sun 1 Nov 1998
59,59,Sun 1 Nov,15:00,West Hartlepool,15-45,Leicester Tigers,Victoria Park,1998-1999,15,45,Sun 1 Nov 1998
60,60,Sat 7 Nov,14:15,Leicester Tigers,36-13,Bath Rugby,Welford Road,1998-1999,36,13,Sat 7 Nov 1998
61,61,Sat 7 Nov,15:00,Gloucester,31-21,Bedford Blues,Kingsholm,1998-1999,31,21,Sat 7 Nov 1998
62,62,Sat 7 Nov,15:00,London Irish,25-31,Sale Sharks,The Avenue,1998-1999,25,31,Sat 7 Nov 1998
63,63,Sat 7 Nov,15:00,NEC Harlequins,25-20,Newcastle Falcons,Twickenham Stoop,1998-1999,25,20,Sat 7 Nov 1998
64,64,Sat 7 Nov,15:00,Northampton Saints,26-21,London Wasps,Franklin's Gardens,1998-1999,26,21,Sat 7 Nov 1998
65,65,Sun 8 Nov,15:00,Saracens,33-17,Richmond,Vicarage Road,1998-1999,33,17,Sun 8 Nov 1998
66,66,Fri 13 Nov,19:30,Sale Sharks,42-26,West Hartlepool,Heywood Road,1998-1999,42,26,Fri 13 Nov 1998
67,67,Sat 14 Nov,15:00,London Scottish,17-23,London Irish,Twickenham Stoop,1998-1999,17,23,Sat 14 Nov 1998
68,68,Sun 15 Nov,15:00,Bedford Blues,20-25,Saracens,Goldington Road,1998-1999,20,25,Sun 15 Nov 1998
69,69,Sun 15 Nov,15:00,London Wasps,45-17,Leicester Tigers,Loftus Road,1998-1999,45,17,Sun 15 Nov 1998
70,70,Sun 15 Nov,15:00,Newcastle Falcons,45-35,Northampton Saints,Kingston Park,1998-1999,45,35,Sun 15 Nov 1998
71,71,Sat 21 Nov,14:15,Northampton Saints,44-27,Richmond,Franklin's Gardens,1998-1999,44,27,Sat 21 Nov 1998
72,72,Sat 21 Nov,15:00,Gloucester,28-27,Saracens,Kingsholm,1998-1999,28,27,Sat 21 Nov 1998
73,73,Sat 21 Nov,15:00,London Irish,30-19,Bedford Blues,The Avenue,1998-1999,30,19,Sat 21 Nov 1998
74,74,Sat 21 Nov,15:00,NEC Harlequins,43-31,Bath Rugby,Twickenham Stoop,1998-1999,43,31,Sat 21 Nov 1998
75,75,Sun 22 Nov,15:00,London Wasps,32-19,Sale Sharks,Loftus Road,1998-1999,32,19,Sun 22 Nov 1998
76,76,Sun 22 Nov,15:00,West Hartlepool,7-37,London Scottish,Victoria Park,1998-1999,7,37,Sun 22 Nov 1998
77,77,Sat 12 Dec,14:00,Sale Sharks,26-10,Gloucester,Heywood Road,1998-1999,26,10,Sat 12 Dec 1998
78,78,Sat 12 Dec,15:00,Bath Rugby,9-15,Northampton Saints,Recreation Ground,1998-1999,9,15,Sat 12 Dec 1998
79,79,Sat 12 Dec,15:00,Bedford Blues,10-23,West Hartlepool,Goldington Road,1998-1999,10,23,Sat 12 Dec 1998
80,80,Sat 12 Dec,15:00,Leicester Tigers,31-18,Newcastle Falcons,Welford Road,1998-1999,31,18,Sat 12 Dec 1998
81,81,Sat 12 Dec,15:00,London Scottish,9-17,London Wasps,Twickenham Stoop,1998-1999,9,17,Sat 12 Dec 1998
82,82,Sun 13 Dec,15:00,Saracens,40-26,London Irish,Vicarage Road,1998-1999,40,26,Sun 13 Dec 1998
83,83,Sat 19 Dec,14:00,Bath Rugby,11-19,Saracens,Recreation Ground,1998-1999,11,19,Sat 19 Dec 1998
84,84,Sat 19 Dec,15:00,Gloucester,18-23,Leicester Tigers,Kingsholm,1998-1999,18,23,Sat 19 Dec 1998
85,85,Sat 19 Dec,15:00,London Irish,20-16,NEC Harlequins,The Avenue,1998-1999,20,16,Sat 19 Dec 1998
86,86,Sat 19 Dec,18:00,London Scottish,16-28,Richmond,Twickenham Stoop,1998-1999,16,28,Sat 19 Dec 1998
87,87,Sun 20 Dec,15:00,Newcastle Falcons,30-15,Sale Sharks,Kingston Park,1998-1999,30,15,Sun 20 Dec 1998
88,88,Sun 20 Dec,15:00,West Hartlepool,9-33,Northampton Saints,Victoria Park,1998-1999,9,33,Sun 20 Dec 1998
89,89,Sat 26 Dec,15:00,Leicester Tigers,26-0,Bedford Blues,Welford Road,1998-1999,26,0,Sat 26 Dec 1998
90,90,Sat 26 Dec,15:00,Richmond,13-25,London Irish,Madejski Stadium,1998-1999,13,25,Sat 26 Dec 1998
91,91,Sun 27 Dec,15:00,London Wasps,23-9,Gloucester,Loftus Road,1998-1999,23,9,Sun 27 Dec 1998
92,92,Sun 27 Dec,15:00,NEC Harlequins,17-15,Sale Sharks,Twickenham Stoop,1998-1999,17,15,Sun 27 Dec 1998
93,93,Sun 27 Dec,15:00,Newcastle Falcons,29-13,West Hartlepool,Kingston Park,1998-1999,29,13,Sun 27 Dec 1998
94,94,Sun 27 Dec,15:15,Saracens,7-24,London Scottish,Vicarage Road,1998-1999,7,24,Sun 27 Dec 1998
95,95,Sat 2 Jan,14:00,Gloucester,23-7,Bath Rugby,Kingsholm,1998-1999,23,7,Sat 2 Jan 1999
96,96,Sat 2 Jan,15:00,London Irish,16-14,Newcastle Falcons,The Avenue,1998-1999,16,14,Sat 2 Jan 1999
97,97,Sat 2 Jan,15:00,London Scottish,24-35,NEC Harlequins,Twickenham Stoop,1998-1999,24,35,Sat 2 Jan 1999
98,98,Sat 2 Jan,15:00,Sale Sharks,24-39,Northampton Saints,Heywood Road,1998-1999,24,39,Sat 2 Jan 1999
99,99,Sun 3 Jan,15:00,Saracens,44-13,Bedford Blues,Vicarage Road,1998-1999,44,13,Sun 3 Jan 1999
100,100,Sun 3 Jan,15:00,West Hartlepool,21-17,London Wasps,Victoria Park,1998-1999,21,17,Sun 3 Jan 1999
101,101,Tue 5 Jan,19:30,London Scottish,24-13,Gloucester,Twickenham Stoop,1998-1999,24,13,Tue 5 Jan 1999
102,102,Tue 5 Jan,19:30,Newcastle Falcons,34-23,Bedford Blues,Kingston Park,1998-1999,34,23,Tue 5 Jan 1999
103,103,Tue 5 Jan,19:30,Northampton Saints,8-32,London Irish,Franklin's Gardens,1998-1999,8,32,Tue 5 Jan 1999
104,104,Tue 5 Jan,19:30,Sale Sharks,30-32,Bath Rugby,Heywood Road,1998-1999,30,32,Tue 5 Jan 1999
105,105,Wed 6 Jan,19:30,London Wasps,15-15,Saracens,Loftus Road,1998-1999,15,15,Wed 6 Jan 1999
106,106,Sat 16 Jan,14:30,Leicester Tigers,24-12,London Scottish,Welford Road,1998-1999,24,12,Sat 16 Jan 1999
107,107,Sat 16 Jan,15:00,Bath Rugby,16-11,Newcastle Falcons,Recreation Ground,1998-1999,16,11,Sat 16 Jan 1999
108,108,Sat 16 Jan,15:00,London Irish,43-21,West Hartlepool,The Avenue,1998-1999,43,21,Sat 16 Jan 1999
109,109,Sat 16 Jan,15:00,NEC Harlequins,17-24,Northampton Saints,Twickenham Stoop,1998-1999,17,24,Sat 16 Jan 1999
110,110,Sat 16 Jan,16:15,Gloucester,24-24,Richmond,Kingsholm,1998-1999,24,24,Sat 16 Jan 1999
111,111,Sat 23 Jan,14:00,NEC Harlequins,17-22,London Irish,Twickenham Stoop,1998-1999,17,22,Sat 23 Jan 1999
112,112,Sat 23 Jan,14:30,Leicester Tigers,23-16,Gloucester,Welford Road,1998-1999,23,16,Sat 23 Jan 1999
113,113,Sat 23 Jan,15:00,Bedford Blues,17-30,Bath Rugby,Goldington Road,1998-1999,17,30,Sat 23 Jan 1999
114,114,Sat 23 Jan,15:00,Northampton Saints,19-14,West Hartlepool,Franklin's Gardens,1998-1999,19,14,Sat 23 Jan 1999
115,115,Sat 23 Jan,15:00,Richmond,40-22,London Scottish,Madejski Stadium,1998-1999,40,22,Sat 23 Jan 1999
116,116,Sat 23 Jan,15:00,Sale Sharks,20-28,Newcastle Falcons,Heywood Road,1998-1999,20,28,Sat 23 Jan 1999
117,117,Tue 26 Jan,20:00,Richmond,11-23,Leicester Tigers,Madejski Stadium,1998-1999,11,23,Tue 26 Jan 1999
118,118,Sat 6 Feb,15:00,NEC Harlequins,9-34,Leicester Tigers,Twickenham Stoop,1998-1999,9,34,Sat 6 Feb 1999
119,119,Sat 6 Feb,15:00,Northampton Saints,18-21,Saracens,Franklin's Gardens,1998-1999,18,21,Sat 6 Feb 1999
120,120,Sat 6 Feb,15:00,Sale Sharks,7-23,London Scottish,Heywood Road,1998-1999,7,23,Sat 6 Feb 1999
121,121,Sun 7 Feb,14:30,London Wasps,35-0,Bath Rugby,Loftus Road,1998-1999,35,0,Sun 7 Feb 1999
122,122,Sun 7 Feb,15:00,London Irish,42-20,Gloucester,The Avenue,1998-1999,42,20,Sun 7 Feb 1999
123,123,Sat 13 Feb,14:00,Leicester Tigers,31-10,London Irish,Welford Road,1998-1999,31,10,Sat 13 Feb 1999
124,124,Sat 13 Feb,15:00,Bedford Blues,25-23,London Wasps,Goldington Road,1998-1999,25,23,Sat 13 Feb 1999
125,125,Sat 13 Feb,15:00,Gloucester,20-31,NEC Harlequins,Kingsholm,1998-1999,20,31,Sat 13 Feb 1999
126,126,Sat 13 Feb,15:00,London Scottish,27-17,Newcastle Falcons,Twickenham Stoop,1998-1999,27,17,Sat 13 Feb 1999
127,127,Sun 14 Feb,15:00,Richmond,29-24,Sale Sharks,Madejski Stadium,1998-1999,29,24,Sun 14 Feb 1999
128,128,Sun 14 Feb,15:00,Saracens,48-27,West Hartlepool,Vicarage Road,1998-1999,48,27,Sun 14 Feb 1999
129,129,Sat 27 Feb,15:00,Bedford Blues,7-18,Sale Sharks,Goldington Road,1998-1999,7,18,Sat 27 Feb 1999
130,130,Sat 13 Mar,15:00,London Scottish,15-24,Bedford Blues,Twickenham Stoop,1998-1999,15,24,Sat 13 Mar 1999
131,131,Sat 13 Mar,15:00,Richmond,23-30,Bath Rugby,Madejski Stadium,1998-1999,23,30,Sat 13 Mar 1999
132,132,Sat 13 Mar,15:00,Sale Sharks,32-24,Saracens,Heywood Road,1998-1999,32,24,Sat 13 Mar 1999
133,133,Sat 13 Mar,16:00,Northampton Saints,15-22,Leicester Tigers,Franklin's Gardens,1998-1999,15,22,Sat 13 Mar 1999
134,134,Sun 14 Mar,15:00,London Wasps,38-27,London Irish,Loftus Road,1998-1999,38,27,Sun 14 Mar 1999
135,135,Sun 14 Mar,15:00,West Hartlepool,33-32,Gloucester,Victoria Park,1998-1999,33,32,Sun 14 Mar 1999
136,136,Sat 27 Mar,15:00,Bedford Blues,19-15,Gloucester,Goldington Road,1998-1999,19,15,Sat 27 Mar 1999
137,137,Sat 27 Mar,15:00,Leicester Tigers,16-6,London Wasps,Welford Road,1998-1999,16,6,Sat 27 Mar 1999
138,138,Sat 27 Mar,15:00,London Irish,35-12,London Scottish,The Avenue,1998-1999,35,12,Sat 27 Mar 1999
139,139,Sat 27 Mar,15:00,NEC Harlequins,32-32,Richmond,Twickenham Stoop,1998-1999,32,32,Sat 27 Mar 1999
140,140,Sat 27 Mar,15:00,Northampton Saints,57-16,Newcastle Falcons,Franklin's Gardens,1998-1999,57,16,Sat 27 Mar 1999
141,141,Sun 28 Mar,15:00,Saracens,14-33,Bath Rugby,Vicarage Road,1998-1999,14,33,Sun 28 Mar 1999
142,142,Sun 28 Mar,15:00,West Hartlepool,33-33,Sale Sharks,Victoria Park,1998-1999,33,33,Sun 28 Mar 1999
143,143,Wed 31 Mar,19:30,Newcastle Falcons,43-20,London Scottish,Kingston Park,1998-1999,43,20,Wed 31 Mar 1999
144,144,Sat 3 Apr,15:00,Bath Rugby,24-16,Leicester Tigers,Recreation Ground,1998-1999,24,16,Sat 3 Apr 1999
145,145,Sat 3 Apr,15:00,Sale Sharks,30-27,London Irish,Heywood Road,1998-1999,30,27,Sat 3 Apr 1999
146,146,Tue 13 Apr,19:45,London Wasps,15-24,Northampton Saints,Loftus Road,1998-1999,15,24,Tue 13 Apr 1999
147,147,Sat 17 Apr,14:15,Leicester Tigers,25-18,Saracens,Welford Road,1998-1999,25,18,Sat 17 Apr 1999
148,148,Sat 17 Apr,15:00,London Irish,47-22,Bath Rugby,The Avenue,1998-1999,47,22,Sat 17 Apr 1999
149,149,Sat 17 Apr,15:00,NEC Harlequins,29-16,Bedford Blues,Twickenham Stoop,1998-1999,29,16,Sat 17 Apr 1999
150,150,Sat 17 Apr,15:00,Northampton Saints,44-13,London Scottish,Franklin's Gardens,1998-1999,44,13,Sat 17 Apr 1999
151,151,Sun 18 Apr,15:00,London Wasps,34-33,Newcastle Falcons,Loftus Road,1998-1999,34,33,Sun 18 Apr 1999
152,152,Sun 18 Apr,15:00,West Hartlepool,35-36,Richmond,Victoria Park,1998-1999,35,36,Sun 18 Apr 1999
153,153,Wed 21 Apr,19:30,Newcastle Falcons,47-14,Richmond,Kingston Park,1998-1999,47,14,Wed 21 Apr 1999
154,154,Wed 21 Apr,19:30,West Hartlepool,37-47,NEC Harlequins,Victoria Park,1998-1999,37,47,Wed 21 Apr 1999
155,155,Sat 24 Apr,15:00,Bath Rugby,56-24,West Hartlepool,Recreation Ground,1998-1999,56,24,Sat 24 Apr 1999
156,156,Sat 24 Apr,15:00,Bedford Blues,31-42,Northampton Saints,Goldington Road,1998-1999,31,42,Sat 24 Apr 1999
157,157,Sat 24 Apr,15:00,Sale Sharks,17-41,Leicester Tigers,Heywood Road,1998-1999,17,41,Sat 24 Apr 1999
158,158,Sun 25 Apr,15:00,Newcastle Falcons,39-15,Gloucester,Kingston Park,1998-1999,39,15,Sun 25 Apr 1999
159,159,Sun 25 Apr,15:00,Richmond,5-29,London Wasps,Madejski Stadium,1998-1999,5,29,Sun 25 Apr 1999
160,160,Sun 25 Apr,15:00,Saracens,30-38,NEC Harlequins,Vicarage Road,1998-1999,30,38,Sun 25 Apr 1999
161,161,Sat 1 May,15:00,Gloucester,24-34,Sale Sharks,Kingsholm,1998-1999,24,34,Sat 1 May 1999
162,162,Sat 1 May,15:00,London Irish,21-26,Saracens,The Avenue,1998-1999,21,26,Sat 1 May 1999
163,163,Sat 1 May,15:00,Northampton Saints,40-17,Bath Rugby,Franklin's Gardens,1998-1999,40,17,Sat 1 May 1999
164,164,Sun 2 May,15:00,London Wasps,45-22,London Scottish,Loftus Road,1998-1999,45,22,Sun 2 May 1999
165,165,Sun 2 May,15:00,Newcastle Falcons,12-21,Leicester Tigers,Kingston Park,1998-1999,12,21,Sun 2 May 1999
166,166,Sun 2 May,15:00,West Hartlepool,0-39,Bedford Blues,Victoria Park,1998-1999,0,39,Sun 2 May 1999
167,167,Mon 3 May,15:00,Richmond,23-30,NEC Harlequins,Madejski Stadium,1998-1999,23,30,Mon 3 May 1999
168,168,Fri 7 May,19:45,Saracens,26-10,Gloucester,Vicarage Road,1998-1999,26,10,Fri 7 May 1999
169,169,Sat 8 May,15:00,Bath Rugby,13-17,NEC Harlequins,Recreation Ground,1998-1999,13,17,Sat 8 May 1999
170,170,Sat 8 May,15:00,Bedford Blues,21-36,London Irish,Goldington Road,1998-1999,21,36,Sat 8 May 1999
171,171,Sat 8 May,15:00,London Scottish,26-14,West Hartlepool,Twickenham Stoop,1998-1999,26,14,Sat 8 May 1999
172,172,Sat 8 May,15:00,Richmond,19-31,Northampton Saints,Madejski Stadium,1998-1999,19,31,Sat 8 May 1999
173,173,Sat 8 May,15:00,Sale Sharks,13-27,London Wasps,Heywood Road,1998-1999,13,27,Sat 8 May 1999
174,174,Tue 11 May,19:30,Newcastle Falcons,33-23,NEC Harlequins,Kingston Park,1998-1999,33,23,Tue 11 May 1999
175,175,Wed 12 May,20:00,Richmond,18-25,Saracens,Madejski Stadium,1998-1999,18,25,Wed 12 May 1999
176,176,Sat 15 May,17:00,Bath Rugby,76-13,London Scottish,Recreation Ground,1998-1999,76,13,Sat 15 May 1999
177,177,Sun 16 May,15:00,Bedford Blues,12-106,Richmond,Goldington Road,1998-1999,12,106,Sun 16 May 1999
178,178,Sun 16 May,15:00,Gloucester,43-31,Northampton Saints,Kingsholm,1998-1999,43,31,Sun 16 May 1999
179,179,Sun 16 May,15:00,Leicester Tigers,72-37,West Hartlepool,Welford Road,1998-1999,72,37,Sun 16 May 1999
180,180,Wed 19 May,19:30,NEC Harlequins,27-20,London Wasps,Twickenham Stoop,1998-1999,27,20,Wed 19 May 1999
181,181,Thu 20 May,19:45,Saracens,40-26,Newcastle Falcons,Vicarage Road,1998-1999,40,26,Thu 20 May 1999
182,182,Fri 10 Sep,15:00,Bristol Shoguns,40-25,Bedford Blues,Memorial Stadium,1999-2000,40,25,Fri 10 Sep 1999
183,183,Sat 11 Sep,15:00,Gloucester,31-16,Newcastle Falcons,Kingsholm,1999-2000,31,16,Sat 11 Sep 1999
184,184,Sat 11 Sep,15:00,NEC Harlequins,10-30,Bath Rugby,Twickenham Stoop,1999-2000,10,30,Sat 11 Sep 1999
185,185,Sat 11 Sep,15:00,Northampton Saints,46-24,Leicester Tigers,Franklin's Gardens,1999-2000,46,24,Sat 11 Sep 1999
186,186,Sat 11 Sep,15:00,Sale Sharks,16-8,London Wasps,Heywood Road,1999-2000,16,8,Sat 11 Sep 1999
187,187,Sun 12 Sep,15:00,Saracens,23-28,London Irish,Vicarage Road,1999-2000,23,28,Sun 12 Sep 1999
188,188,Sat 25 Sep,15:00,Bath Rugby,33-13,Northampton Saints,Recreation Ground,1999-2000,33,13,Sat 25 Sep 1999
189,189,Sat 25 Sep,15:00,Bedford Blues,8-27,London Irish,Goldington Road,1999-2000,8,27,Sat 25 Sep 1999
190,190,Sat 25 Sep,15:00,Leicester Tigers,18-3,Sale Sharks,Welford Road,1999-2000,18,3,Sat 25 Sep 1999
191,191,Sat 25 Sep,15:00,NEC Harlequins,33-24,Saracens,Twickenham Stoop,1999-2000,33,24,Sat 25 Sep 1999
192,192,Sun 26 Sep,15:00,London Wasps,30-26,Gloucester,Loftus Road,1999-2000,30,26,Sun 26 Sep 1999
193,193,Sun 26 Sep,15:00,Newcastle Falcons,32-37,Bristol Shoguns,Kingston Park,1999-2000,32,37,Sun 26 Sep 1999
194,194,Fri 1 Oct,19:30,Gloucester,34-6,Leicester Tigers,Kingsholm,1999-2000,34,6,Fri 1 Oct 1999
195,195,Fri 1 Oct,20:00,Bristol Shoguns,20-13,London Wasps,Memorial Stadium,1999-2000,20,13,Fri 1 Oct 1999
196,196,Fri 1 Oct,20:00,Saracens,39-15,Bedford Blues,Vicarage Road,1999-2000,39,15,Fri 1 Oct 1999
197,197,Sat 2 Oct,15:00,Northampton Saints,29-27,NEC Harlequins,Franklin's Gardens,1999-2000,29,27,Sat 2 Oct 1999
198,198,Sat 2 Oct,15:00,Sale Sharks,28-22,Bath Rugby,Heywood Road,1999-2000,28,22,Sat 2 Oct 1999
199,199,Sun 3 Oct,14:00,London Irish,56-8,Newcastle Falcons,Twickenham Stoop,1999-2000,56,8,Sun 3 Oct 1999
200,200,Sat 9 Oct,14:30,Northampton Saints,8-32,Saracens,Franklin's Gardens,1999-2000,8,32,Sat 9 Oct 1999
201,201,Sun 10 Oct,13:00,London Wasps,43-20,London Irish,Loftus Road,1999-2000,43,20,Sun 10 Oct 1999
202,202,Sun 10 Oct,13:00,NEC Harlequins,3-10,Sale Sharks,Twickenham Stoop,1999-2000,3,10,Sun 10 Oct 1999
203,203,Sun 10 Oct,14:15,Bath Rugby,33-20,Gloucester,Recreation Ground,1999-2000,33,20,Sun 10 Oct 1999
204,204,Fri 15 Oct,19:30,Gloucester,24-23,NEC Harlequins,Kingsholm,1999-2000,24,23,Fri 15 Oct 1999
205,205,Sat 16 Oct,15:00,Bristol Shoguns,31-31,Bath Rugby,Memorial Stadium,1999-2000,31,31,Sat 16 Oct 1999
206,206,Sat 16 Oct,15:00,London Irish,30-31,Leicester Tigers,Twickenham Stoop,1999-2000,30,31,Sat 16 Oct 1999
